"REF_AREA","INDICATOR","GENDER","AGE_CLASS","CITIZENSHIP","OBS_VALUE"
"034004","RESPOP_AV","F","Y20-29","TOTAL","54"
"034004","RESPOP_AV","F","Y30-39","FRGAPO","20"
"034004","RESPOP_AV","F","Y30-39","ITL","49"
"034004","RESPOP_AV","F","Y30-39","TOTAL","69"
"034004","RESPOP_AV","F","Y40-49","FRGAPO","27"
"034004","RESPOP_AV","F","Y40-49","ITL","81"
"034004","RESPOP_AV","F","Y40-49","TOTAL","108"
"034004","RESPOP_AV","F","Y50-59","FRGAPO","12"
"034004","RESPOP_AV","F","Y50-59","ITL","128"
"034004","RESPOP_AV","F","Y50-59","TOTAL","140"
"034004","RESPOP_AV","F","Y60-69","FRGAPO","12"
"034004","RESPOP_AV","F","Y60-69","ITL","158"
"034004","RESPOP_AV","F","Y60-69","TOTAL","170"
"034004","RESPOP_AV","F","Y70-79","FRGAPO","3"
"034004","RESPOP_AV","F","Y70-79","ITL","155"
"034004","RESPOP_AV","F","Y70-79","TOTAL","158"
"034004","RESPOP_AV","F","Y80-89","ITL","95"
"034004","RESPOP_AV","F","Y80-89","TOTAL","95"
"034004","RESPOP_AV","F","Y90-99","FRGAPO","1"
"034004","RESPOP_AV","F","Y90-99","ITL","34"
"034004","RESPOP_AV","F","Y90-99","TOTAL","35"
"034004","RESPOP_AV","M","TOTAL","FRGAPO","113"
"034004","RESPOP_AV","M","TOTAL","ITL","921"
"034004","RESPOP_AV","M","TOTAL","TOTAL","1034"
"034004","RESPOP_AV","M","Y0-9","FRGAPO","8"
"034004","RESPOP_AV","M","Y0-9","ITL","33"
"034004","RESPOP_AV","M","Y0-9","TOTAL","41"
"034004","RESPOP_AV","M","Y10-19","FRGAPO","12"
"034004","RESPOP_AV","M","Y10-19","ITL","54"
"034004","RESPOP_AV","M","Y10-19","TOTAL","66"
"034004","RESPOP_AV","M","Y20-29","FRGAPO","22"
"034004","RESPOP_AV","M","Y20-29","ITL","53"
"034004","RESPOP_AV","M","Y20-29","TOTAL","75"
"034004","RESPOP_AV","M","Y30-39","FRGAPO","19"
"034004","RESPOP_AV","M","Y30-39","ITL","69"
"034004","RESPOP_AV","M","Y30-39","TOTAL","88"
"034004","RESPOP_AV","M","Y40-49","FRGAPO","28"
"034004","RESPOP_AV","M","Y40-49","ITL","106"
"034004","RESPOP_AV","M","Y40-49","TOTAL","134"
"034004","RESPOP_AV","M","Y50-59","FRGAPO","12"
"034004","RESPOP_AV","M","Y50-59","ITL","169"
